=== economy-table56.xlsx ===
Cell B5 | value='January' | fill=FFFFFFFF | rows=[4] | cols=[1, 2, 3] | col_header=False | row_header=False | metadata=False
Cell F5 | value='February' | fill=FFFFFFFF | rows=[4] | cols=[5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell J5 | value='March' | fill=FFFFFFFF | rows=[4] | cols=[9, 10, 11] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Actual' | fill=FFFFFF00 | rows=[5] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C6 | value='Budget' | fill=FFFFFF00 | rows=[5] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D6 | value='Variance' | fill=FFFFFF00 | rows=[5] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell F6 | value='Actual' | fill=FFFFFF00 | rows=[5] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G6 | value='Budget' | fill=FFFFFF00 | rows=[5] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H6 | value='Variance' | fill=FFFFFF00 | rows=[5] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell J6 | value='Actual' | fill=FFFFFF00 | rows=[5] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K6 | value='Budget' | fill=FFFFFF00 | rows=[5] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L6 | value='Variance' | fill=FFFFFF00 | rows=[5] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell A8 | value='Product 1' | fill=FFFFFFFF | rows=[7] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B8 | value='23432' | fill=FFFFFFFF | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='31233' | fill=FFFFFFFF | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='7801' | fill=FFFFFFFF | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Product 2' | fill=FFFFFFFF | rows=[8] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='49887.1' | fill=FFFFFFFF | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='44737.875' | fill=FFFFFFFF | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='-5149.225' | fill=FFFFFFFF | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F9 | value='49887.1' | fill=FFFFFFFF | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='44737.875' | fill=FFFFFFFF | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='-5149.225' | fill=FFFFFFFF | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J9 | value='49887.1' | fill=FFFFFFFF | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='44737.875' | fill=FFFFFFFF | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='-5149.225' | fill=FFFFFFFF | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A10 | value='Product 3' | fill=FFFFFFFF | rows=[9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B10 | value='5322' | fill=FFFFFFFF | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='4789' | fill=FFFFFFFF | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell A11 | value='Product 4' | fill=FFFFFFFF | rows=[10] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B11 | value='2074.9' | fill=FFFFFFFF | rows=[10] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C11 | value='0' | fill=FFFFFFFF | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='-2074.9' | fill=FFFFFFFF | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F11 | value='498.79' | fill=FFFFFFFF | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='0' | fill=FFFFFFFF | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='-498.79' | fill=FFFFFFFF | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell J11 | value='755.3' | fill=FFFFFFFF | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0' | fill=FFFFFFFF | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
