=== economy-table74.xlsx ===
Cell A1 | value='Market Basket Volume' | fill=FF00B050 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='4000000' | fill=8 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A2 | value='Average Category Mark-UP' | fill=FF00B050 | rows=[1] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B2 | value='0.0496' | fill=8 | rows=[1] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A3 | value='Pricing Evaluation Date' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='2013-09-01 00:00:00' | fill=8 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell A5 | value='Premier Program Incentives' | fill=FFFFFF00 | rows=[4] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B5 | value='Choose From Drop Down Boxes In Cells' | fill=FFFFFF00 | rows=[4] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C5 | value='% of Incentive' | fill=FFFFFF00 | rows=[4] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D5 | value='Actual $ Based on MB Volume' | fill=FFFFFF00 | rows=[4] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell A7 | value='USF Discounts with Premier' | fill=FFFFFF00 | rows=[6] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A8 | value='Drop Size Incentive' | fill=FF00B050 | rows=[7] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B8 | value='Less than $2,499' | fill=00000000 | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='0.01' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='40000' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A9 | value='Accounts Payable Incentive' | fill=FF00B050 | rows=[8] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B9 | value='10.01 - 15.00' | fill=00000000 | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='0.01' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='40000' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A10 | value='TOTAL STANDARD' | fill=FF00B050 | rows=[9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D10 | value='80000' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A12 | value='Potential Incentives*' | fill=FFFFFF00 | rows=[11] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A13 | value='Program Maximization Incentive' | fill=FF00B050 | rows=[12] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B13 | value='Direct Parent' | fill=00000000 | rows=[12] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C13 | value='0.01' | fill=00000000 | rows=[12] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D13 | value='40000' | fill=00000000 | rows=[12] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A14 | value='New Business Incentive' | fill=FF00B050 | rows=[13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B14 | value='New Customer to USF' | fill=00000000 | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='0.01' | fill=00000000 | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='40000' | fill=00000000 | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Label Incentive' | fill=FF00B050 | rows=[14] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B15 | value='No Label Incentive' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='0' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='0' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Other' | fill=FF00B050 | rows=[15] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B16 | value='None' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='0.01' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='40000' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
