=== economy-table89.xlsx ===
Cell E1 | value='Total Entering Default During the Quarter' | fill=FFFFFF00 | rows=[0] | cols=[4, 5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell I1 | value='Loans Defaulting for the First Time' | fill=FFFFFF00 | rows=[0] | cols=[8, 9] | col_header=True | row_header=False | metadata=False
Cell K1 | value='Loans Defaulting for at least the Second Time' | fill=FFFFFF00 | rows=[0] | cols=[10, 11] | col_header=True | row_header=False | metadata=False
Cell A2 | value='Federal Fiscal Year' | fill=FFFFFF00 | rows=[1] | cols=[0, 1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Dollars In Repayment From Previous Quarter         (in billions)' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Recipients In Repayment From Previous Quarter         (in thousands)' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='Dollars             (in billions)' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Unique Borrowers     (in thousands)' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Percent of Dollars in Repayment Last Quarter That Defaulted' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Percent of Borrowers in Repayment Last Quarter That Defaulted' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Dollars             (in billions)' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Borrowers     (in thousands)' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='Dollars             (in billions)' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Borrowers     (in thousands)' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell A3 | value='2015' | fill=FF00B050 | rows=[2, 3, 4, 5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='Q1' | fill=FF00B050 | rows=[2] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C3 | value='301.79999999999995' | fill=None | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='12290' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='4.65' | fill=4 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='301.4' | fill=4 | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='0.015407554671968195' | fill=4 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='0.0245240032546786' | fill=4 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='4.13' | fill=None | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='278.2' | fill=None | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='0.52' | fill=4 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='24.3' | fill=4 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B4 | value='Q2' | fill=FF00B050 | rows=[3] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C4 | value='349.7' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='13620' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='4.11' | fill=4 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='258.7' | fill=4 | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='0.011752931083786104' | fill=4 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='0.018994126284875183' | fill=4 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='3.69' | fill=None | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='240.1' | fill=None | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='0.42' | fill=4 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='19.7' | fill=4 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B5 | value='Q3' | fill=FF00B050 | rows=[4] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C5 | value='368.20000000000005' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='13960' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='4.82' | fill=4 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='289.2' | fill=4 | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='0.013090711569799022' | fill=4 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='0.020716332378223495' | fill=4 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='4.26' | fill=None | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='266.3' | fill=None | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='0.56' | fill=4 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='24.1' | fill=4 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B6 | value='Q4' | fill=FF00B050 | rows=[5] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C6 | value='394.00000000000006' | fill=00000000 | rows=[5] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D6 | value='14660' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E6 | value='4.78' | fill=4 | rows=[5] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F6 | value='275.7' | fill=4 | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='0.01213197969543147' | fill=4 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H6 | value='0.018806275579809004' | fill=4 | rows=[5] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I6 | value='4.21' | fill=None | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J6 | value='254.2' | fill=None | rows=[5] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K6 | value='0.57' | fill=4 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L6 | value='22.9' | fill=4 | rows=[5] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A7 | value='2016' | fill=FF00B050 | rows=[6, 7, 8, 9] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B7 | value='Q1' | fill=FF00B050 | rows=[6] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C7 | value='397.09999999999997' | fill=00000000 | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='14520' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='6' | fill=4 | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='336.2' | fill=4 | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0.015109544195416772' | fill=4 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='0.02315426997245179' | fill=4 | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='5.43' | fill=None | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='313.5' | fill=None | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0.57' | fill=4 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='24.5' | fill=4 | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B8 | value='Q2' | fill=FF00B050 | rows=[7] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C8 | value='440' | fill=00000000 | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='15500' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='5.146928374' | fill=4 | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='276.01' | fill=4 | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0.011697564486363636' | fill=4 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='0.017807096774193548' | fill=4 | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='4.593108269' | fill=None | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='253.589' | fill=None | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0.553820105' | fill=4 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='24.01' | fill=4 | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B9 | value='Q3' | fill=FF00B050 | rows=[8] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C9 | value='440.79999999999995' | fill=00000000 | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='15270' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='4.93' | fill=4 | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='259.7' | fill=4 | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0.01118421052631579' | fill=4 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0.017007203667321544' | fill=4 | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='4.4' | fill=None | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='238.4' | fill=None | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0.53' | fill=4 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='22.7' | fill=4 | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B10 | value='Q4' | fill=FF00B050 | rows=[9] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C10 | value='468.09999999999997' | fill=00000000 | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='15940' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='5.37' | fill=4 | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='281.2' | fill=4 | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='0.011471907712027345' | fill=4 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='0.01764115432873275' | fill=4 | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='4.84' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='259.6' | fill=00000000 | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='0.53' | fill=4 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='23.2' | fill=4 | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell A11 | value='2017' | fill=FF00B050 | rows=[10, 11, 12, 13] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B11 | value='Q1' | fill=FF00B050 | rows=[10] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C11 | value='478.5' | fill=00000000 | rows=[10] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D11 | value='15930' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E11 | value='5.708778996' | fill=4 | rows=[10] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F11 | value='286.5' | fill=4 | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='0.011930572614420064' | fill=4 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H11 | value='0.017984934086629004' | fill=4 | rows=[10] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I11 | value='5.227855024' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J11 | value='265.5' | fill=00000000 | rows=[10] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K11 | value='0.480923972' | fill=4 | rows=[10] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L11 | value='22.8' | fill=4 | rows=[10] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell B12 | value='Q2' | fill=FF00B050 | rows=[11] | cols=[1] | col_header=False | row_header=True | metadata=False
Cell C12 | value='522.5' | fill=00000000 | rows=[11] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D12 | value='16840' | fill=00000000 | rows=[11] | cols=[3] | col_header=False | row_header=False | metadata=False
