=== economy-table53.xlsx ===
Cell A1 | value='Product' | fill=FFFFFF00 | rows=[0, 1] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B1 | value='Quanity' | fill=FFFFFF00 | rows=[0, 1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C1 | value='Width in mm' | fill=FFFFFF00 | rows=[0, 1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D1 | value='X' | fill=FFFFFF00 | rows=[0, 1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E1 | value='Height in mm' | fill=FFFFFF00 | rows=[0, 1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F1 | value='M/2' | fill=FFFFFF00 | rows=[0, 1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G1 | value='Price' | fill=FFFFFF00 | rows=[0, 1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H1 | value='Corner Notch's' | fill=FFFFFF00 | rows=[0] | cols=[7, 8] | col_header=True | row_header=False | metadata=False
Cell J1 | value='Cut - Outs' | fill=FFFFFF00 | rows=[0] | cols=[9, 10] | col_header=True | row_header=False | metadata=False
Cell L1 | value='Holes 6 -15 mm' | fill=FFFFFF00 | rows=[0] | cols=[11, 12] | col_header=True | row_header=False | metadata=False
Cell N1 | value='Holes 16 -38 mm' | fill=FFFFFF00 | rows=[0] | cols=[13, 14] | col_header=True | row_header=False | metadata=False
Cell Q1 | value='Total' | fill=00000000 | rows=[0, 1] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell H2 | value='quanity' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='price' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='quanity' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='price' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='quanity' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='price' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='quanity' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='price' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell A3 | value='6mm White Toughened, Lacobel, P/A/R' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='1' | fill=00000000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='0.6' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D3 | value='X' | fill=00000000 | rows=[2] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E3 | value='0.25' | fill=00000000 | rows=[2] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F3 | value='0.15' | fill=None | rows=[2] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G3 | value='20.475' | fill=00000000 | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='2' | fill=00000000 | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='65' | fill=00000000 | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K3 | value='0' | fill=00000000 | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='1' | fill=00000000 | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='4' | fill=00000000 | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='1' | fill=00000000 | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='8' | fill=00000000 | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='97.475' | fill=00000000 | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A4 | value='6mm Black Toughened, Lacobel, P/A/R' | fill=FF00B050 | rows=[3] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B4 | value='1' | fill=00000000 | rows=[3] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C4 | value='1.2' | fill=00000000 | rows=[3] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D4 | value='X' | fill=00000000 | rows=[3] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E4 | value='0.8' | fill=00000000 | rows=[3] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F4 | value='0.96' | fill=None | rows=[3] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G4 | value='131.04' | fill=00000000 | rows=[3] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H4 | value='1' | fill=00000000 | rows=[3] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I4 | value='32.5' | fill=00000000 | rows=[3] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J4 | value='2' | fill=00000000 | rows=[3] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K4 | value='100' | fill=00000000 | rows=[3] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L4 | value='2' | fill=00000000 | rows=[3] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M4 | value='8' | fill=00000000 | rows=[3] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O4 | value='0' | fill=00000000 | rows=[3] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q4 | value='271.53999999999996' | fill=00000000 | rows=[3] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A5 | value='6mm Light Grey Toughened, Lacobel, P/A/R' | fill=FF00B050 | rows=[4] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B5 | value='1' | fill=00000000 | rows=[4] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C5 | value='0.6' | fill=00000000 | rows=[4] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D5 | value='X' | fill=00000000 | rows=[4] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E5 | value='0.3' | fill=00000000 | rows=[4] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F5 | value='0.18' | fill=None | rows=[4] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G5 | value='24.57' | fill=00000000 | rows=[4] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H5 | value='3' | fill=00000000 | rows=[4] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I5 | value='97.5' | fill=00000000 | rows=[4] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J5 | value='1' | fill=00000000 | rows=[4] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K5 | value='50' | fill=00000000 | rows=[4] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L5 | value='3' | fill=00000000 | rows=[4] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M5 | value='12' | fill=00000000 | rows=[4] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N5 | value='1' | fill=00000000 | rows=[4] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O5 | value='8' | fill=00000000 | rows=[4] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q5 | value='192.07' | fill=00000000 | rows=[4] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell A6 | value='6mm Dark Grey Toughened, Lacobel, P/A/R' | fill=FF00B050 | rows=[5] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D6 | value='X' | fill=00000000 | rows=[5] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F6 | value='0' | fill=None | rows=[5] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G6 | value='0' | fill=00000000 | rows=[5] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I6 | value='0' | fill=00000000 | rows=[5] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K6 | value='0' | fill=00000000 | rows=[5] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell M6 | value='0' | fill=00000000 | rows=[5] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O6 | value='0' | fill=00000000 | rows=[5] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q6 | value='0' | fill=00000000 | rows=[5] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell D7 | value='X' | fill=00000000 | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F7 | value='0' | fill=None | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0' | fill=00000000 | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I7 | value='0' | fill=00000000 | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0' | fill=00000000 | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell M7 | value='0' | fill=00000000 | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O7 | value='0' | fill=00000000 | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='0' | fill=00000000 | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell D8 | value='X' | fill=00000000 | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F8 | value='0' | fill=None | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='0' | fill=00000000 | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I8 | value='0' | fill=00000000 | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K8 | value='0' | fill=00000000 | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell M8 | value='0' | fill=00000000 | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O8 | value='0' | fill=00000000 | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='0' | fill=00000000 | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell D9 | value='X' | fill=00000000 | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F9 | value='0' | fill=None | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0' | fill=00000000 | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I9 | value='0' | fill=00000000 | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0' | fill=00000000 | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell M9 | value='0' | fill=00000000 | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O9 | value='0' | fill=00000000 | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='0' | fill=00000000 | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell D10 | value='X' | fill=00000000 | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F10 | value='0' | fill=None | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='0' | fill=00000000 | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I10 | value='0' | fill=00000000 | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K10 | value='0' | fill=00000000 | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell M10 | value='0' | fill=00000000 | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell O10 | value='0' | fill=00000000 | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='0' | fill=00000000 | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell D11 | value='X' | fill=00000000 | rows=[10] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell F11 | value='0' | fill=None | rows=[10] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G11 | value='0' | fill=00000000 | rows=[10] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell I11 | value='0' | fill=00000000 | rows=[10] | cols=[8] | col_header=False | row_header=False | metadata=False
