=== economy-table106.xlsx ===
Cell A1 | value='Table 8. Digital Economy Current-Dollar Value Added by Industry' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26] | col_header=True | row_header=True | metadata=True
Cell A2 | value='Billions of dollars' | fill=FFFFFF00 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26] | col_header=True | row_header=False | metadata=False
Cell A3 | value='Industries' | fill=FFFFFF00 | rows=[2] | cols=[0, 1, 2, 3, 4, 5] | col_header=True | row_header=False | metadata=False
Cell G3 | value='1997' | fill=None | rows=[2] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H3 | value='1998' | fill=None | rows=[2] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I3 | value='1999' | fill=None | rows=[2] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J3 | value='2000' | fill=None | rows=[2] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K3 | value='2001' | fill=None | rows=[2] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L3 | value='2002' | fill=None | rows=[2] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M3 | value='2003' | fill=None | rows=[2] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N3 | value='2004' | fill=None | rows=[2] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O3 | value='2005' | fill=None | rows=[2] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P3 | value='2006' | fill=None | rows=[2] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q3 | value='2007' | fill=None | rows=[2] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R3 | value='2008' | fill=None | rows=[2] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S3 | value='2009' | fill=None | rows=[2] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T3 | value='2010' | fill=None | rows=[2] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U3 | value='2011' | fill=None | rows=[2] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V3 | value='2012' | fill=None | rows=[2] | cols=[21] | col_header=False | row_header=False | metadata=False
