=== economy-table87.xlsx ===
Cell A1 | value='Consumer Price Index item' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell C1 | value='Jul-23' | fill=FFFFFF00 | rows=[0] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell F1 | value='Aug-23' | fill=FFFFFF00 | rows=[0] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell I1 | value='Sep-23' | fill=FFFFFF00 | rows=[0] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell L1 | value='Oct-23' | fill=FFFFFF00 | rows=[0] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell O1 | value='Nov-23' | fill=FFFFFF00 | rows=[0] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell R1 | value='Dec-23' | fill=FFFFFF00 | rows=[0] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell U1 | value='Jan-24' | fill=FFFFFF00 | rows=[0] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell X1 | value='Feb-24' | fill=FFFFFF00 | rows=[0] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell AA1 | value='Mar-24' | fill=FFFFFF00 | rows=[0] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AD1 | value='Apr-24' | fill=FFFFFF00 | rows=[0] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AG1 | value='May-24' | fill=FFFFFF00 | rows=[0] | cols=[32] | col_header=True | row_header=False | metadata=False
Cell AJ1 | value='Jun-24' | fill=FFFFFF00 | rows=[0] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AM1 | value='Jul-24' | fill=FFFFFF00 | rows=[0] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell AP1 | value='Aug-24' | fill=FFFFFF00 | rows=[0] | cols=[41] | col_header=True | row_header=False | metadata=False
Cell AS1 | value='Sep-24' | fill=FFFFFF00 | rows=[0] | cols=[44] | col_header=True | row_header=False | metadata=False
Cell AV1 | value='Oct-24' | fill=FFFFFF00 | rows=[0] | cols=[47] | col_header=True | row_header=False | metadata=False
Cell AY1 | value='Nov-24' | fill=FFFFFF00 | rows=[0] | cols=[50] | col_header=True | row_header=False | metadata=False
Cell BB1 | value='Dec-24' | fill=FFFFFF00 | rows=[0] | cols=[53] | col_header=True | row_header=False | metadata=False
Cell B2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell C2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[2] | col_header=True | row_header=False | metadata=False
Cell D2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[3] | col_header=True | row_header=False | metadata=False
Cell E2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[4] | col_header=True | row_header=False | metadata=False
Cell F2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[5] | col_header=True | row_header=False | metadata=False
Cell G2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[6] | col_header=True | row_header=False | metadata=False
Cell H2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[7] | col_header=True | row_header=False | metadata=False
Cell I2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell L2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell O2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[14] | col_header=True | row_header=False | metadata=False
Cell P2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[15] | col_header=True | row_header=False | metadata=False
Cell Q2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[16] | col_header=True | row_header=False | metadata=False
Cell R2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[17] | col_header=True | row_header=False | metadata=False
Cell S2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[18] | col_header=True | row_header=False | metadata=False
Cell T2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell U2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[20] | col_header=True | row_header=False | metadata=False
Cell V2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[21] | col_header=True | row_header=False | metadata=False
Cell W2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[22] | col_header=True | row_header=False | metadata=False
Cell X2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[23] | col_header=True | row_header=False | metadata=False
Cell Y2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[24] | col_header=True | row_header=False | metadata=False
Cell Z2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[25] | col_header=True | row_header=False | metadata=False
Cell AA2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[26] | col_header=True | row_header=False | metadata=False
Cell AB2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[27] | col_header=True | row_header=False | metadata=False
Cell AC2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[28] | col_header=True | row_header=False | metadata=False
Cell AD2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[29] | col_header=True | row_header=False | metadata=False
Cell AE2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[30] | col_header=True | row_header=False | metadata=False
Cell AF2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[31] | col_header=True | row_header=False | metadata=False
Cell AG2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[32] | col_header=True | row_header=False | metadata=False
Cell AH2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[33] | col_header=True | row_header=False | metadata=False
Cell AI2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[34] | col_header=True | row_header=False | metadata=False
Cell AJ2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[35] | col_header=True | row_header=False | metadata=False
Cell AK2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[36] | col_header=True | row_header=False | metadata=False
Cell AL2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[37] | col_header=True | row_header=False | metadata=False
Cell AM2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[38] | col_header=True | row_header=False | metadata=False
Cell AN2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[39] | col_header=True | row_header=False | metadata=False
Cell AO2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[40] | col_header=True | row_header=False | metadata=False
Cell AP2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[41] | col_header=True | row_header=False | metadata=False
Cell AQ2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[42] | col_header=True | row_header=False | metadata=False
Cell AR2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[43] | col_header=True | row_header=False | metadata=False
Cell AS2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[44] | col_header=True | row_header=False | metadata=False
Cell AT2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[45] | col_header=True | row_header=False | metadata=False
Cell AU2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[46] | col_header=True | row_header=False | metadata=False
Cell AV2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[47] | col_header=True | row_header=False | metadata=False
Cell AW2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[48] | col_header=True | row_header=False | metadata=False
Cell AX2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[49] | col_header=True | row_header=False | metadata=False
Cell AY2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[50] | col_header=True | row_header=False | metadata=False
Cell AZ2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[51] | col_header=True | row_header=False | metadata=False
Cell BA2 | value='Lower' | fill=FFFFFF00 | rows=[1] | cols=[52] | col_header=True | row_header=False | metadata=False
Cell BB2 | value='Mid' | fill=FFFFFF00 | rows=[1] | cols=[53] | col_header=True | row_header=False | metadata=False
Cell BC2 | value='Upper' | fill=FFFFFF00 | rows=[1] | cols=[54] | col_header=True | row_header=False | metadata=False
Cell A3 | value='All food' | fill=FF00B050 | rows=[2] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B3 | value='-3.7' | fill=00000000 | rows=[2] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C3 | value='2.4' | fill=00000000 | rows=[2] | cols=[2] | col_header=False | row_header=False | metadata=False
